Score and Grading,Tilki,Ramnagar,Udayapur,Dashrathbasti,Simari,Khallabichawa,Binbari,Kanj,Kasba,Nand Gau,Balmi,Dunga,Khall Jain,Dekhatbhuli (Deuwa Tole),"Bhanubhakta Tole (Saraswati, Bhumiraj)",Bagphanta (Shuktaraj Tole),Rautela Khola (Bishnu Tole),Khutiya Tole,Nuklipur,Purba Lalitpur,Sano Bikree,Badhupuruwa,Thapuwa,Balapur,Bhartapur,Payal,Baidi,Shreelanka,Dakshinshahipur,Belpur,Girdharpur,Farela,Lamkipuruwa,Naya Likepur Shiber,Tihuni,Chanaura,Sangharshanagar,Tediya,Tigra,Bankatti,Banghushra,Rajipur,Sankatti,Shonaha Gau,Bangalipur,Bhagrahiya,Bhagatpur,Patharbojhi,Sonaha,Dangpur,Dhungrahi,Kumra Gau,Lauthuwa Jogipur,Bhaishakhani,Ghorpitta,Guruwa Gau,Jabdi
P13_T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,B,C,B,C,B,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P14_T0,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,B,B,B,B,B,B,C,B,B,C,C,B,C,C,C,B,C,C,C,B,B,B,B,B,B,B,B,B,B,B,C,B,B,B,C,C,C,C,C,C,C,B
P15_T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,C,B,B,B,A,C,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P16_T0,C,C,C,C,D,C,C,C,C,C,C,C,C,C,C,B,C,D,C,D,D,D,D,D,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,B,C,B,B,B,B,C,C,B,B,C,D,C,C,C,C,C,C
P17_T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,C,D,D,D,D,D,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P18_T0,D,D,D,D,D,C,C,C,C,C,C,C,C,D,D,D,D,C,B,C,C,C,C,D,D,C,C,D,D,D,C,C,C,D,C,C,C,C,C,D,C,C,C,C,C,D,D,C,C,C,D,C,C,C,C,C,C
P19_T0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,C,D,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
S01_T0,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
S02_T0,B,B,B,B,B,C,C,C,C,C,C,C,C,C,B,C,C,B,C,D,C,D,C,D,D,D,B,D,C,C,B,B,D,D,B,B,B,C,B,C,B,B,B,B,B,C,C,B,B,C,B,B,C,C,C,C,C
S03_T0,C,C,C,D,C,C,C,B,C,C,C,C,B,C,B,C,C,C,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,B,B,B,C,C,C,C,C,C,D,C,C,C,C,B,C,B,C,C,B,B
S04_T0,B,C,B,B,B,C,C,B,A,B,B,B,C,C,B,B,C,C,B,B,D,D,C,B,C,C,A,C,A,B,B,B,C,B,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B
S05_T0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,C,B,C,D,C,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,B,C
S06_T0,C,C,C,D,D,B,B,C,C,C,B,C,C,B,B,C,B,C,B,C,B,B,B,B,C,C,B,C,B,C,C,B,B,C,B,C,B,B,B,C,C,B,B,C,B,C,C,B,B,B,B,B,B,C,B,B,C
S07_T0,B,C,B,C,B,C,C,B,B,C,C,C,B,C,C,C,C,B,C,B,C,D,C,C,C,C,B,C,C,C,B,B,B,B,C,C,B,C,B,C,B,B,B,B,B,B,C,B,B,C,C,C,C,C,C,C,C
